Company Name,Address,NJIC#,Website,Email,Phone,Street Address,City,Country,State,Zip
Atlantic Coast Moving & Storage Inc.,"6577 Delilah Road, Egg Harbor, Atlantic, NJ, 08234",39PC000099,http://www.atlanticcoastmovers.com,atlanticmovers@aol.com,609-484-1101,6577 Delilah Road, Egg Harbor,Atlantic,NJ,8234
"BK Movers, LLC","6604 Delilah Road, Egg Harbor Township, Atlantic, NJ, 08234",39PC000727,http://www.bkmovers.com,bkmovers@comcast.net,609 641-1800,6604 Delilah Road, Egg Harbor Township,Atlantic,NJ,8234
Garden State Moving,"2547 Fire Rd., Unit H8, Egg Harbor Township, NJ 08234",39PM00126900,https://www.movegardenstate.com/,gsm@movegardenstate.com,609-428-0100,2547 Fire Rd.,Unit H8,Atlantic,NJ,8234
AA American Moving and Storage,"414 West Main Street, Wyckoff, Bergen, NJ, 07481",39PC000734,http://www.americanmovingandstg.com,aa@americanmovingandstg.com,201-891-2600,414 West Main Street, Wyckoff,Bergen,NJ,7481
"American Movers, Inc.","120 County Rd., Ste. 204, Tenafly, Bergen, NJ, 07670",39PC000241,http://www.americanmoversinc.com/,american@monmouth.com,732-870-2300,414 West Main Street, Wyckoff,Bergen,NJ,7481
BestGuy Moving Services LLC,"280 North Midland Ave., Building S1, Saddle Brook, Bergen, NJ, 07663",39PC001101,https://bestguymoving.com/,info@bestguymoving.com,201-254-9477,414 West Main Street, Wyckoff,Bergen,NJ,7481
BOK Moving Co.,"224 Green St., South Hackensack, Bergen, NJ, 07606",39PM000753,No Website Found,,201-229-1800,224 Green St., South Hackensack,Bergen,NJ,7606
"Booth Movers, Ltd.","1 Anderson Ave., Moonachie, Bergen, NJ, 07074",39PC000043,http://www.boothmovers.com/,doug@boothmovers.com,201-896-4500,1 Anderson Ave., Moonachie,Bergen,NJ,7074
HCB Distribution LLC,"550 Walnut St., Norwood, Bergen, NJ, 07648",39PC001174,https://hcbdistribution.com/,fklag@hcbdistribution.com,201-540-6798,550 Walnut St., Norwood,Bergen,NJ,7648
Montvale Moving Services LLC,"4 Robin Hood Ct., Montvale, Bergen, NJ, 07645",39PC000952,http://www.montvalemoving.com,montvalemovers@aol.com,201-391-3743,4 Robin Hood Ct., Montvale,Bergen,NJ,7645
Movers201,"260 Hudson St., Bldg. E, Ste. 155, Hackensack, Bergen, NJ, 07601",39PC001013,http://www.movers201.com,amir@movers201.com,201-807-0800,4 Robin Hood Ct., Montvale,Bergen,NJ,7645
Paramus Moving Inc.,"466 Cedar Hill Ave., Wyckoff, Bergen, NJ, 07481",39PM001009,http://www.paramusmoving.com/,paramusmoving@gmail.com,201-652-5554,466 Cedar Hill Ave., Wyckoff,Bergen,NJ,7481
Peter Ferraro & Sons Mvg. & Stg.,"3-35 Banta Place, #F, Fair Lawn, Bergen, NJ, 07410",39PC000002,http://peterferraroandsons.com,info@peterferraro.net,201-703-3770,466 Cedar Hill Ave., Wyckoff,Bergen,NJ,7481
